player_id,player,ranking_category,event,event_canonical,event_type,month,awarded_on,division,round,points,counts_for_ranking,partner,partner_source,wins,losses,prize,tournament_slug,scale,expires_rolling,expires_season,already_overdue_if_rolling
310f748b-4718-461d-aa46-f7537fcfa9e5,Tanay Gabhawala,Men's,MUMBAI CITY OPEN 3.0,MUMBAI CITY OPEN 3.0,city_open,2025-09,2025-09-28,advance,quarter_finalist,120,True,,,,,,,2025-26 and earlier,2026-09-28,2027-07-01,False
310f748b-4718-461d-aa46-f7537fcfa9e5,Tanay Gabhawala,Men's,Mumbai City Open 5.0,Mumbai City Open 5.0,city_open,2026-08,2026-08-02,advance,groups,0,True,Shashank Mittal,draw_entry,1.0,2.0,,mumbai-city-open-5-01,2026-27,2027-08-02,2027-07-01,False
32a0b562-9232-4c9d-baa5-622161e0b903,Glenn Renny,Men's,City Open Kochi 2.0,City Open Kochi 2.0,city_open,2026-09,2026-09-13,beginner,groups,0,True,Renny Chacko,profile,1.0,2.0,,ipt-kochi-city-open-2-0,2026-27,2027-09-13,2027-07-01,False
32e72a90-6fbd-4ccc-bdc5-93be13a6f158,Shanu Hazra,Men's,AHMEDABAD CITY OPEN,AHMEDABAD CITY OPEN,city_open,2026-03,2026-03-15,advance,quarter_finalist,120,True,,,,,,,2025-26 and earlier,2027-03-15,2027-07-01,False
32e72a90-6fbd-4ccc-bdc5-93be13a6f158,Shanu Hazra,Men's,INDIAN PADEL TOUR 10.0,INDIAN PADEL TOUR 10.0,grand_slam,2026-04,2026-04-26,intermediate,quarter_finalist,30,True,,,,,,,2025-26 and earlier,2027-04-26,2027-07-01,False
3354c5a3-1dbf-47e7-a264-7a573cd0b8e5,Kabir Anand,Men's,Mumbai City Open 5.0,Mumbai City Open 5.0,city_open,2026-08,2026-08-02,intermediate,quarter_finalist,9,True,Neville Wadia,draw_entry,2.0,1.0,,mumbai-city-open-5-01,2026-27,2027-08-02,2027-07-01,False
3354c5a3-1dbf-47e7-a264-7a573cd0b8e5,Kabir Anand,Men's,City Open Kochi 2.0,City Open Kochi 2.0,city_open,2026-09,2026-09-13,advance,groups,0,True,Advait Bahl,profile,0.0,3.0,,ipt-kochi-city-open-2-0,2026-27,2027-09-13,2027-07-01,False
33ba8a38-6ea6-4a24-a6c2-539cda4a6089,Priyesh Desai,Men's,MUMBAI CITY OPEN 4.0,MUMBAI CITY OPEN 4.0,city_open,2026-01,2026-01-11,intermediate,quarter_finalist,18,True,,,,,,,2025-26 and earlier,2027-01-11,2027-07-01,False
33c37317-e796-4dae-9697-19aa9df046bd,Jatin Dhingra,Men's,INDIAN PADEL TOUR 10.0,INDIAN PADEL TOUR 10.0,grand_slam,2026-04,2026-04-26,beginner,semi_finalist,20,True,,,,,,,2025-26 and earlier,2027-04-26,2027-07-01,False
33c37317-e796-4dae-9697-19aa9df046bd,Jatin Dhingra,Men's,Goa Grandslam 11.0,Goa Grandslam 11.0,grand_slam,2026-08,2026-08-16,intermediate,groups,0,True,Arjun Chalotra,draw_entry,0.0,3.0,,ipt-goa-grandslam-11-0,2026-27,2027-08-16,2027-07-01,False
